#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
202211300900 47150  4  3  6  5 82  6  20  2.5  -2.6  -9.9  57.2 1031.7 1033.0  2    1.7  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47152  4  3  2  9 70  7 320  2.5   1.0 -18.3  22.1 1018.3 1028.6  2    2.2  -99.0  0 -9 -9  0  0  0  2 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47154  4  3  6  9 84  6 320  1.5  -1.3 -14.8  35.0 1025.1 1031.4  2    2.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47155  4  3  2  9 84  7 180  1.5   0.4 -16.9  26.0 1024.3 1028.8  0    1.7  -99.0  0 -9 -9  0  0  0  2 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47156  4  3  2  6 70  6  50  3.5  -0.5  -9.4  51.0 1022.8 1031.8  2    1.2  -99.0  0 -9 -9  2  5  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47157  4  3  6  9 84  6 360  2.0  -1.5 -12.4  43.2 1001.2 1030.2  2    2.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47159  4  3  2  9 84  7 230  3.0   1.7 -16.2  25.1 1018.4 1027.2  2    1.1  -99.0  0 -9 -9  0  0  0  2 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47162  4  3  6  9 70  7  20  3.0   2.5  -9.4  41.1 1025.2 1029.2  2    2.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47165  4  4  1  4 75  7  50  5.0  -0.5  -2.7  85.0 1026.1 1031.8  2    0.4  -99.0  0 85 88  7  8  0  0 -999 -99.0 -99.0 -999 -999 -999 9915 -999 -999 -999
202211300900 47168  4  3  2  9 70  6 320  8.0   0.5 -10.9  42.1 1021.1 1029.5  1    1.1  -99.0  0 -9 -9  0  0  0  2 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47169  4  3  2  5 82  7 360 12.5   2.4  -3.1  67.0 1021.4 1030.9  2    0.4  -99.0  0 -9 -9  7  5  0  0 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
